physician_id,physician_name,service_date,start_time,end_time,hours_worked,payment_amount,payment_type,department,specialty,shift_type,is_on_call,notes
P004,Dr. David Kim,2026-01-09,07:00:00,19:00:00,12,1440.00,hourly,Pediatrics,Pediatrics,day,0,
P004,Dr. David Kim,2026-01-12,07:00:00,19:00:00,12,1440.00,hourly,Pediatrics,Pediatrics,day,0,
P004,Dr. David Kim,2026-01-14,07:00:00,19:00:00,12,1440.00,hourly,Pediatrics,Pediatrics,day,0,
P004,Dr. David Kim,2026-01-16,07:00:00,19:00:00,12,1440.00,hourly,Pediatrics,Pediatrics,day,0,
P004,Dr. David Kim,2026-01-21,07:00:00,19:00:00,12,1440.00,hourly,Pediatrics,Pediatrics,day,0,
P004,Dr. David Kim,2026-01-31,750.00,750.00,0,750.00,incentive,Pediatrics,Pediatrics,,0,Quality incentive
P005,Dr. Eva Nguyen,2026-01-06,08:00:00,16:00:00,8,880.00,hourly,Radiology,Diagnostic Radiology,day,0,
P005,Dr. Eva Nguyen,2026-01-07,08:00:00,16:00:00,8,880.00,hourly,Radiology,Diagnostic Radiology,day,0,
P005,Dr. Eva Nguyen,2026-01-08,08:00:00,16:00:00,8,880.00,hourly,Radiology,Diagnostic Radiology,day,0,
P005,Dr. Eva Nguyen,2026-01-09,08:00:00,16:00:00,8,880.00,hourly,Radiology,Diagnostic Radiology,day,0,
P005,Dr. Eva Nguyen,2026-01-13,08:00:00,16:00:00,8,880.00,hourly,Radiology,Diagnostic Radiology,day,0,
P005,Dr. Eva Nguyen,2026-01-14,08:00:00,16:00:00,8,880.00,hourly,Radiology,Diagnostic Radiology,day,0,
P005,Dr. Eva Nguyen,2026-01-15,08:00:00,16:00:00,8,880.00,hourly,Radiology,Diagnostic Radiology,day,0,
P005,Dr. Eva Nguyen,2026-01-16,08:00:00,16:00:00,8,880.00,hourly,Radiology,Diagnostic Radiology,day,0,
P005,Dr. Eva Nguyen,2026-01-20,08:00:00,16:00:00,8,880.00,hourly,Radiology,Diagnostic Radiology,day,0,
P005,Dr. Eva Nguyen,2026-01-21,08:00:00,16:00:00,8,880.00,hourly,Radiology,Diagnostic Radiology,day,0,
